"","time","close","high","low","open","volumefrom","volumeto"
"270",2017-12-25 22:26:00,2028480,2034500,2027301,2029000,42.087868,85466270
"271",2017-12-25 22:27:00,2028751,2031983,2028751,2029262,19.233303,39051140
"272",2017-12-25 22:28:00,2029002,2031400,2028888,2029121,35.020405,71078290
"273",2017-12-25 22:29:00,2030143,2033000,2029500,2031001,30.493923,61945580
"274",2017-12-25 22:30:00,2031622,2035000,2031622,2032365,37.057503,75330310
"275",2017-12-25 22:31:00,2032365,2035700,2032003,2035500,44.637547,90794030
"276",2017-12-25 22:32:00,2035700,2036396,2033001,2035121,45.17196,91938980
"277",2017-12-25 22:33:00,2035121,2035121,2033002,2034054,22.890417,46567704
"278",2017-12-25 22:34:00,2034396,2036969,2034001,2035000,40.210163,81837064
"279",2017-12-25 22:35:00,2036969,2038100,2035000,2037140,21.368721,43526092
"280",2017-12-25 22:36:00,2037140,2038030,2036920,2037000,25.423328,51804984
"281",2017-12-25 22:37:00,2037999,2039049,2034900,2035410,51.88127,105691460
"282",2017-12-25 22:38:00,2036430,2036430,2034511,2035898,42.69553,86889480
"283",2017-12-25 22:39:00,2035350,2036000,2032750,2032750,36.869427,75007380
"284",2017-12-25 22:40:00,2034319,2034319,2031620,2031620,48.813747,99209370
"285",2017-12-25 22:41:00,2032000,2032000,2030000,2030185,39.016876,79225270
"286",2017-12-25 22:42:00,2030130,2031620,2029740,2031590,83.0038,168523330
"287",2017-12-25 22:43:00,2031590,2032000,2030200,2030799,29.60361,60125600
"288",2017-12-25 22:44:00,2030700,2031999,2028980,2029300,38.12504,77381784
"289",2017-12-25 22:45:00,2029050,2031000,2028980,2029000,26.126003,53024908
"290",2017-12-25 22:46:00,2029001,2032000,2027860,2032000,57.62442,116945450
"291",2017-12-25 22:47:00,2032500,2034900,2030010,2032767,21.872183,44457544
"292",2017-12-25 22:48:00,2033000,2034399,2032767,2033005,20.894213,42489620
"293",2017-12-25 22:49:00,2033500,2035603,2032777,2035603,25.730274,52352170
"294",2017-12-25 22:50:00,2036650,2039000,2035050,2038721,67.81588,138168820
"295",2017-12-25 22:51:00,2038721,2039030,2036910,2038480,42.238068,86090780
"296",2017-12-25 22:52:00,2038480,2038480,2034954,2035001,59.72252,121628800
"297",2017-12-25 22:53:00,2033000,2035001,2030610,2031210,46.180534,93884616
"298",2017-12-25 22:54:00,2031342,2034201,2027860,2031000,82.414154,167300180
"299",2017-12-25 22:55:00,2030593,2031550,2025970,2027100,90.93225,184404430
"300",2017-12-25 22:56:00,2025970,2026550,2023100,2024444,71.37084,144536420
"301",2017-12-25 22:57:00,2023705,2024444,2021399,2023333,56.192493,113674290
"302",2017-12-25 22:58:00,2022550,2023500,2019080,2020103,57.860817,116918360
"303",2017-12-25 22:59:00,2020103,2020996,2017000,2020000,99.435875,200769100
"304",2017-12-25 23:00:00,2017000,2020000,2017000,2019500,74.123276,149595870
"305",2017-12-25 23:01:00,2018299,2026500,2012000,2020000,136.7175,275772160
"306",2017-12-25 23:02:00,2020000,2021501,2015000,2015000,87.974976,177605340
"307",2017-12-25 23:03:00,2015028,2020000,2012000,2016575,64.0752,129256776
"308",2017-12-25 23:04:00,2018731,2019080,2012000,2015758,120.897316,243572460
"309",2017-12-25 23:05:00,2014000,2016000,2010380,2013999,55.736977,112217360
"310",2017-12-25 23:06:00,2014000,2014357,2008540,2008540,165.37569,332296830
"311",2017-12-25 23:07:00,2008900,2019998,2008100,2014000,130.79384,263105020
"312",2017-12-25 23:08:00,2013225,2017499,2012000,2014898,59.241974,119355624
"313",2017-12-25 23:09:00,2015000,2017400,2013500,2013550,68.03736,137078930
"314",2017-12-25 23:10:00,2013501,2015990,2011111,2011111,74.50034,150071580
"315",2017-12-25 23:11:00,2014249,2015060,2011111,2013912,70.61467,142149980
"316",2017-12-25 23:12:00,2013912,2020000,2011200,2018998,76.594826,154431550
"317",2017-12-25 23:13:00,2016614,2020000,2015100,2019390,114.09556,230227970
"318",2017-12-25 23:14:00,2018138,2019400,2015000,2015200,76.033195,153350080
"319",2017-12-25 23:15:00,2015426,2016998,2013028,2013500,53.16385,107115340
"320",2017-12-25 23:16:00,2013334,2015000,2010000,2012900,99.07207,199354740
"321",2017-12-25 23:17:00,2013002,2014000,2012000,2012010,28.955553,58274316
"322",2017-12-25 23:18:00,2012000,2015000,2011005,2014899,40.00226,80537336
"323",2017-12-25 23:19:00,2014880,2014899,2012000,2014117,58.250507,117276670
"324",2017-12-25 23:20:00,2014117,2014117,2007111,2007519,61.968662,124540800
"325",2017-12-25 23:21:00,2009400,2012323,2006666,2008362,72.99963,146622020
"326",2017-12-25 23:22:00,2009000,2010000,2006676,2008620,32.982105,66235416
"327",2017-12-25 23:23:00,2008210,2008811,2004000,2004583,107.06222,214742640
"328",2017-12-25 23:24:00,2005550,2008362,2004000,2007777,93.67894,187923470
"329",2017-12-25 23:25:00,2008000,2011498,2005620,2011374,65.28846,131201630
